id,text,clause_type,risk_level
CL02706,"In the event that XENCOR pays the Technology Access Fee set forth above, XENCOR shall have the right to use or have used (e.g. by a Business Partner) the Process worldwide for the manufacture of Product in accordance with the terms and conditions of this Agreement, without entering into a contract manufacturing agreement with BII (Page 23)",Intellectual Property,Medium
CL02707,"The Agent, shall, during the term of this Agreement, maintain full insurance against the risk of loss or damages to the Roundup Products for any Agents‚Äô warehouse where Roundup Products are under the custody of the Agent and, upon request, shall furnish Monsanto with satisfactory evidence of the maintenance of said insurance. (Page 33)",Insurance,Low
CL02708,"13. Section 10.1 (a) of the Existing Agreement (Fleet's Indemnity Obligations) shall be deleted and replaced by the following: ""10.1(a) Fleet's Indemnity Obligations. Fleet shall defend, indemnify and hold harmless Columbia, its Affiliates and their respective successors and permitted assigns (and the respective officers, directors, stockholders, partners and employees of each) from and against any and all losses liabilities, claims, actions, proceedings, damages and expenses (including, without limitation, reasonable attorneys' and professional fees and disbursements and expenses of litigation, arbitration or investigation) (""Damages"") relating to or arising from (i) any breach by Fleet or its Affiliates of its representations, warranties, covenants, agreements or obligations under this Agreement, including without limitation, the failure of Fleet to timely deliver all Product ordered or the failure of the Product to meet the Fleet Warranty and/or Product Specifications or the failure of Fleet to manufacture or warehouse the Product in accordance with the Product Specifications and Applicable Law (including those relating to cGMP); and (ii) any claims of infringement or misappropriation with respect to the manufacture of the Product, except to the extent such claim of infringement relates to the use of the Intellectual Property; and (iii) any personal injury or property damage to the extent that the injury or damage is the direct result of a failure by Fleet or its Affiliates or subcontractors to manufacture, package, or label the Product in accordance with the Specifications, GMP or Applicable Law.""",Indemnification,Medium
CL02710,"For twenty-four (24) months following termination of this Agreement, Licensee shall specify on all public-facing materials in a prominent place and in prominent typeface that Licensee is no longer operating under the Licensed Mark, is no longer associated with Licensor, or such other notice as may be deemed necessary by Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim. (Page 4)",Termination,High
CL02711,"Diplomat agrees that it will obtain, at its own expense, product liability insurance from a recognized insurance company which is qualified to do business in the State of California providing adequate protection (at least in the amount of $ ) for KI, Inc., KI and Diplomat against any claims, suits, loss or damage arising out of any alleged defects in the products. (Page 3) As proof of such insurance, a fully paid certificate of insurance naming KI, Inc. and KI as an insured party will be submitted to KI, Inc. by Diplomat for KI, Inc.'s prior approval before any product is distributed or sold, and at the latest within thirty (30) days after the date first written above. (Page 3) Any proposed change in certificates of insurance shall be submitted to KI, Inc. for its prior approval. (Page 3) KI, Inc. shall be entitled to a copy of the then prevailing certificate of insurance, which shall be furnished KI, Inc. by Diplomat. (Pages 3-4) KI, Inc. shall be entitled to a copy of the then prevailing certificate of insurance, which shall be furnished KI, Inc. by Diplomat. (Pages 3-4)",Insurance,Low
CL02712,"In accordance with items 9.3, 9.4, and 10.3, this Contract shall come into force on the Effective Date, remain effective throughout the Initial Term, and be prolonged, or further extended automatically for a period of 12 months, each such extension commencing at the end of the last day of the Initial Term or the relevant anniversary thereof, unless either Party serves written notice of termination on the other Party at least 65 days prior to the end of the Initial Term, or any subsequent extension. (Pages 4-5)",Renewal,Low
CL02713,"NON-COMPETITION AND NON-DISCLOSURE AGREEMENT THIS NON-COMPETITION AND NON-DISCLOSURE AGREEMENT (the ""Agreement"") is made and entered into as of the 1st day of April, 2003, by and between BELCAN CORPORATION, an Ohio corporation (""Belcan""), and ARC COMMUNICATIONS, INC., a New Jersey corporation (""ARC""). All initially capitalized terms not otherwise defined shall have the meanings ascribed to them in the Purchase Agreement (later defined).",Confidentiality,Low
CL02714,"More detailed quality audits may be performed by NCM personnel. (Page 13) During the Term and for a period of three (3) years thereafter, each Party, at its sole expense, shall, upon reasonable advance notice from the other party, make such books and records available at its offices for inspection and audit by the other party, its employees and agents. (Page 20) Any audit with respect to amounts payable by either party to the other party under this Agreement shall be limited to an audit with respect to amounts to be paid in the current calendar year and immediately preceding calendar year only. (Page 20) Any period that has been audited pursuant to this Section shall not be subject to any further audit. (Page 20) In addition to the foregoing audit rights of the parties, during the Term, NCM and its authorized agents shall have the right, upon reasonable advance notice, to inspect any Network Affiliate premises or facilities involved in the performance of this Agreement to confirm the performance and satisfaction of Network Affiliate’s obligations hereunder. (Page 20)",Audit Rights,Low
CL02715,"This Agreement shall be terminable <omitted> (b) by the Licensee (i) at any time in the event such Licensee assigns or attempts to assign or sublicense this Agreement or any of the Licensee’s rights or duties hereunder without the prior written consent of the Licensor (Page 3) The Licensee shall not sublicense, assign, pledge or grant as security or otherwise encumber or transfer to any third party all or any part of its rights or duties under this Agreement, in whole or in part, without the prior written consent from the Licensor, which consent the Licensor may grant or withhold in its <omitted> sole and absolute discretion. (Pages 3-4) Any purported transfer or other encumbrance without such consent shall be void ab initio. (Page 4)",Assignment & Change of Control,Medium
CL02716,We will not grant other franchises nor establish our own Unit Franchises within the Master Territory during the term of this Agreement unless you do not meet the Minimum Development Quota. (Page 13),Non-Compete & Exclusivity,Medium
CL02717,"Mutual Non-disclosure and Conﬁdentiality Agreement This Mutual Non-disclosure and Conﬁdentiality Agreement (”Agreement”) is made by and between Ready4S, Ltd (”Ready4S”) and the Client as named in the signature column below. Ready4S and Client are sometimes collectively referred to herein as the ”Parties” and individually as a ”Party”. A Party includes the entity named herein, its successors and assigns, any of its present or future corporate parents, subsidiaries, and organizations controlled by, controlling or under common control with such Party.",Confidentiality,Low
CL02718,"In the event that Ginkgo uses any of the BLI Proprietary Workflows identified in Exhibit D to conduct Commercial Services for a Third Party customer and such Commercial Services [***] result in the discovery of an Antibody to be used as the active ingredient in a therapeutic product for which a Third Party [***] (each such Antibody subject to this Section 7.4.2 (Milestone Payments), a ‚ÄúDiscovered Antibody‚Äù), then, on a Discovered Antibody-by-Discovered Antibody basis, in the event such Third Party (a) achieves any of the milestone events noted below in Table 7.4.2 (each, a ‚ÄúMilestone Event‚Äù) with respect to a Discovered Antibody and (b) makes a payment to Ginkgo in connection with such Milestone Event, then Ginkgo will pay BLI [***] percent ([***]%) of such payment received by Ginkgo from such Third Party up to the amount of the corresponding ‚ÄúMaximum Milestone Payment‚Äù for such milestone event set forth below in Table 7.4.2 (each, a ‚ÄúMilestone Payment‚Äù. (Page 40)",Payment,Low
CL02719,"9. ADC and Polaroid hereby agree not to circumvent, or to attempt to circumvent, this Agreement in an effort to deprive the other party to this agreement of fees, commissions or other remuneration, in connection with the use of Confidential Information and/or in pursuit of the above listed purposes and projects, and both parties shall indemnify the other against any circumvention or attempt to circumvent by the offending party.",Indemnification,Medium
CL02720,"From time to time during the Term of this Agreement, upon reasonable advance notice, Contractor shall permit the Company and its agents, representatives, auditors and designees to visit, inspect and have full access, during normal business hours, to properties, assets, books, records, agreements, documents, data, files and personnel of Contractor. (Page 4)",Audit Rights,Low
CL02722,"During the Term, and for a period of [ * ] thereafter, Google may audit Distributor’s relevant records to confirm Distributor’s compliance with this Agreement. (Page 6)",Audit Rights,Low
CL02723,"6. NON-DISCLOSURE: The Receiving Party shall not disclose Confidential Information to any third party individual, corporation, or other entity without prior written consent of the Disclosing Party and shall further limit the circulation and disclosure of Confidential Information within its own organization to its employees having a ""need to know"" the Confidential Information for the purpose set forth in this Agreement, and to ensure that such employees are informed of the confidential nature thereof and agree to and are required to observe the provision of confidentiality set forth herein. The Receiving Party will not attempt to determine the content or structure, or otherwise reverse engineer or decompile any material sample, hardware or software to which it is provided access pursuant to this Agreement except as expressly provided under Section 3 of this Agreement.",Confidentiality,Low
CL02726,"13.2 Indemnification by Bellicum. Bellicum will save, defend and hold harmless Miltenyi, its Affiliates, Subcontractors, officers, directors, employees, consultants and agents (collectively, ""Miltenyi Indemnitees"") from and against any and all Losses to which any such Miltenyi Indemnitee may become subject as a result of any claim, demand, action or other proceeding by any Third Party to the extent such Losses arise out of: (i) the material breach by Bellicum of any representation, warranty, covenant or agreement made by it under this Agreement; (ii) the gross negligence or willful misconduct of any Bellicum Indemnitee (as defined above); or (iii) the development, manufacture, use, handling, storage, sale or other disposition of any Bellicum Product by or on behalf of Bellicum; except, in each case, to the extent such Losses result from the material breach by Miltenyi of any representation, warranty, covenant or agreement made by it under this Agreement or the gross negligence or willful misconduct of any Miltenyi Indemnitee. In the event Miltenyi seeks indemnification under this Section 13.2, Miltenyi shall (a) notify Bellicum in writing of such Third Party claim as soon as reasonably practicable after it receives notice of the claim, (b) provided that Bellicum is not contesting the indemnity obligation, permit Bellicum to assume direction and control of the defense of the claim (including the right to settle the claim solely for monetary consideration), provided further that Bellicum shall act reasonably and in good faith with respect to all matters relating to the settlement or disposition of any claim as the settlement or disposition relates to parties being indemnified under this Section 13.2, and (c) cooperate as requested (at Bellicum's expense) in the defense of the claim; but provided always that Bellicum may not settle any such claim or otherwise consent to an adverse judgment or order in any relevant action or other proceeding or make any admission as to liability or fault without the prior express written permission of Miltenyi.",Indemnification,Medium
CL02727,"""Claimant"" has the meaning set forth in Section 10.12. ""Commission"" has the meaning set forth in Section 10.12. ""Competitor"" means any Person whose business includes an online portal. ""Confidential Information"" has the meaning set forth in Section 9.1. ""Content"" means text, graphics, information and data and other content, whether supplied by Licensee, Licensor, end users or third party providers.",Confidentiality,Low
CL02728,"CONSIDERATION TO PROVIDER Seven hundred fifty thousand (750,000) shares of Kingdom Connect, Inc. Series A Preferred Stock. (Page 2)",Payment,Low
CL02729,MLX will use all commercially reasonable efforts to maintain the user traffic at a monthly minimum of: . [*] page views three (3) months after the launch of the Co-Branded Site; . [*] page views six (6) months after the launch of the Co-Branded Site; and . [*] page views twelve (12) months after the launch of the Co-Branded Site. (Page 12),Payment,Low
CL02730,"If Oxbow makes the Lima Investment: (i) Oxbow will receive four percent (4%) of the Lima Project‚Äôs pre-tax project cash flow after debt service and operation and maintenance (‚ÄúO&M‚Äù) expenses. The Lima Project Company‚Äôs obligation to make such payment would be subject to satisfaction of the same lender covenants which will apply to distributions to equity investors in the Lima Project; and <omitted> (ii) Oxbow will receive two percent (2%) of those non-O&M revenues of Global Energy‚Äôs affiliate, Gasification Engineering Corporation, Inc. (‚ÄúGEC‚Äù) related to the Lima Project (e.g., any of the $200 million EPC reserves/construction contingency which is not spent). (Pages 3-4) Should the price of fuel delivered to the Lima Project be above the Price Basis, the commission will be reduced on a sliding scale according to the following formula: C= BC+(PB-PI)*0.1094 Where: C = commission BC = Base Commission PI = price invoiced per MMBTU PB = Price Basis per MMBTU (Page 4)",Payment,Low
CL02732,Termination for Convenience. [***]. (Page 29),Termination,Medium
CL02733,"This IP Agreement will be binding upon and inure to the benefit of the Parties hereto and their respective successors and permitted assigns, but will not be assignable or delegable by any Party without the prior written consent of the other Party. (Page 17) Any attempted transfer in contravention of this Section 9.3 shall be null and void. (Page 18)",Assignment & Change of Control,Medium
CL02734,"Unless either party gives written notice of termination of this Agreement at least 60 days prior to the end of the Initial Term, or any successive three-year term, this Agreement shall automatically renew for successive additional three-year terms; provided, however, that this Agreement shall automatically terminate upon the dissolution of the client. (Page 2)",Renewal,Medium
CL02736,"Except as expressly provided hereunder, neither this Agreement nor any rights or obligations hereunder may be assigned or otherwise transferred by either party without the prior written consent of the other party (which consent shall not be unreasonably withheld); provided, however, that either party may assign this Agreement and its rights and obligations hereunder without the other party’s consent in connection with the transfer or sale of all or substantially all of the business of such party to which this Agreement relates to a Third Party, whether by merger, sale of stock, sale of assets or otherwise (a “Change of Control Event”). (Page 24) Any assignment not in accordance with this Agreement shall be void. (Page 24)",Assignment & Change of Control,Medium
CL02737,"On any termination of this Agreement under Section 5.l (a), (b), or (c) all outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants (Page 3)",Termination,Medium
CL02738,"NOW, THEREFORE, in consideration of the Recitals and covenants and agreements, hereinafter contained, the parties agree as follows: 1. Incorporation by Reference. The Recitals are incorporated and made a part of this Agreement by reference thereto. 2. Non-Disclosure. As a material part of the consideration given and received by the parties in connection with the SPA:",Confidentiality,Low
CL02739,"CONFIDENTIALITY AND NON-DISCLOSURE AGREEMENT entered into between Cee Vee Transport Consultants SA (Pty) Ltd Registration number 2013/037841/07 Of 5 Sardine Drive, Pennington, 4184, South Africa (hereinafter referred to as “the First Disclosing Party”) And Registration number Of (hereinafter referred to as “the Second Disclosing Party”)",Confidentiality,Low
CL02740,"This Agreement, which is in English, shall be governed by and construed in accordance with the laws of the State of California without regard to the conflicts of laws principles thereof. (Page 14)",Governing Law,Low
CL02741,"For all referrals under Section 6.1, except where NTC has evidence that it referral the customer (including its affiliates) to ALFA AESAR to purchase a prior sample of the Product in question, or where NTC has made sales to the customer (including its affiliates) referred to NTC by ALFA AESAR within a period of twelve (12) months before ALFA AESAR‚Äôs referral under Section 6.1, NTC shall pay ALFA AESAR a commission at the rate of [***] on the Net Sales made to each such customer so referred to NTC under Section 6. (Page 4)",Payment,Low
CL02742,"Each Party agrees that during the term of this Agreement and for a period of twelve (12) consecutive months thereafter they shall not, directly, solicit, engage, compensate, induce in any way or hire for employment or other representation, any officer, employee, consultant or other representative employed or retained by the other Party or assist any other person or entity to do any of the foregoing. (Page 7)",Non-Compete & Exclusivity,Medium
CL02743,AMERICAN REGISTRY FOR INTERNET NUMBERS (ARIN) NON-DISCLOSURE AGREEMENT This is an Agreement between the American Registry for Internet Numbers (hereinafter referred to as ARIN) and (hereinafter referred to as Applicant). It is recognized that it may be desirable for the Applicant to provide ARIN with specific proprietary information for the purpose of ARIN's allocation of IP address space. W ith respect to such information the parties agree as follows:,Confidentiality,Low
CL02745,"Subject to Section 2.6, the Village Media Company shall, or shall cause HOFV to, pay to PFHOF a minimum guarantee of one million two hundred and fifty thousand dollars ($1,250,000) (the ‚ÄúAnnual Guarantee‚Äù) each year during the TermÕæ provided that the Parties acknowledge and agree that after the first five (5) years of the Term, the Annual Guarantee shall increase by three percent (3%) on a year-over-year basis (e.g., the Annual Guarantee shall increase to $1,287,500 for year six (6) and to $1,326,125 for year seven (7)). (Page 9)",Payment,Low
CL02746,"2. NON-DISCLOSURE AND LIMITED USE. 2.1 Non-Disclosure. Without the written consent of Disclosing Party and except as otherwise required by applicable law, Receiving Party shall keep, and shall cause its Representatives to keep, all Proprietary Information confidential and shall not disclose or reveal, and shall cause its Representatives not to disclose or reveal, in any manner whatsoever, in whole or in part, any Proprietary Information to any person, other than to its Representatives who are actively and directly participating in its evaluation of the Proposed Transaction or who otherwise need to know the Proprietary Information for the purpose of evaluating the Proposed Transaction and who are bound by restrictions regarding the disclosure and use of such Proprietary Information (either contractual, legal or fiduciary) owed to Company, Interested Party or any their respective Representatives that are comparable to and no less restrictive than those set forth in this Agreement. Each party shall inform all of its respective Representatives and shall cause its respective Representatives to inform their Representatives who receive Proprietary Information hereunder of the confidential nature of such information and the Proposed Transaction, as well as the terms of this Agreement. Receiving Party shall not, and shall cause its Representatives to not, use any Proprietary Information for any purpose other than to evaluate the Proposed Transaction or in connection with the consummation of the Proposed Transaction. Each party shall be responsible for any breach of the terms of this Agreement by it or its Representatives.",Confidentiality,Low
CL02747,"(c) Notwithstanding anything to the contrary in this Section 7.2, the Party granting access under Section 7.2(a) or Section 7.2(b) may withhold any document (or portions thereof) or information (i) that is subject to the terms of a non-disclosure agreement with a third party (provided that such party shall use commercially reasonable efforts to share such information in a manner that would not violate any such obligation), (ii) that may constitute privileged attorney-client communications or attorney work product and the transfer of which, or the provision of access to which, as reasonably determined by such Party's counsel, constitutes a waiver of any such privilege (provided that such party shall use commercially reasonable efforts to share such information in a manner that would not jeopardize any such privilege), or (iii) if the provision of access to such document (or portion thereof) or information, as determined by such Party's counsel, would reasonably be expected to conflict with applicable Laws.",Confidentiality,Low
CL02748,"eBix may terminate this Agreement, [**] upon [**] to About; provided, however, that the termination is no earlier than [**] of the Effective Date of this Agreement. (Page 7)",Termination,Medium
CL02749,"1.39 ""Commercially Reasonable Efforts"" means with respect to [***]. - 4 - Source: HARPOON THERAPEUTICS, INC., 10-K, 3/12/2020 1.40 [***] 1.41 ""Competitor"" means any Person that [***], or (b) that [***]. 1.42 ""Confidential Information"" means any Information provided orally, visually, in writing or other form by or on behalf of one (1) Party (or an Affiliate or representative of such Party) to the other Party (or to an Affiliate or representative of such other Party) in connection with this Agreement, whether prior to, on, or after the Effective Date, including Information relating to the terms of this Agreement, the Licensed Compound or any Licensed Product (including the Regulatory Documentation and regulatory data), any Exploitation of the Licensed Compound or any Licensed Product, any know-how with respect thereto developed by or on behalf of the disclosing Party or its Affiliates, or the scientific, regulatory or business affairs or other activities of either Party. Notwithstanding the foregoing, (a) Joint Know-How shall be deemed to be the Confidential Information of both Parties, and both Parties shall be deemed to be the receiving Party and the disclosing Party with respect thereto, and (b) following the License Option Exercise Closing Date, all Regulatory Documentation owned by AbbVie pursuant to Section 3.8.2 shall be deemed to be the Confidential Information of AbbVie, and AbbVie shall be deemed to be the disclosing Party and Harpoon shall be deemed to be the receiving Party with respect thereto. In addition, all information disclosed by Harpoon to AbbVie under the Prior NDA shall be deemed to be Harpoon's Confidential Information disclosed hereunder, and all information disclosed by AbbVie Inc. to Harpoon under the Prior NDA shall be deemed to be AbbVie's Confidential Information disclosed hereunder.",Confidentiality,Low
CL02750,"AT&T may elect to, after consultation with Vendor and good faith discussion to negotiate another resolution: (i) terminate its obligations solely with respect to each Cell Site affected by or related to such Permitting Delay under this Agreement and exercise any of the Termination Remedies set forth in the Build Addendum, without liability to Vendor; provided that AT&T shall pay to Vendor, an amount equal to the demonstrated costs incurred by Vendor for any Work completed (in accordance with applicable Specifications and requirements) to the extent such Work is transferred to AT&T as of the effective time of termination of the applicable terminated Cell Site, which amount shall not exceed $[***] (Page 14) Insofar as Vendor’s obligations under Subsection (b)(i) result from, arise out of, or relate to a Covered Claim that is a Combination Claim, Vendor shall be liable to pay only its Proportionate Share of the Covered Loss associated with such Combination Claim. (Page 27) Notwithstanding anything contained in this Agreement to the contrary, neither Party shall be liable to the other Party for any special, consequential, incidental or punitive damages, however caused, based on any theory of liability except to the extent such damages are payable by such Party (a) pursuant to its indemnification obligations under Section 3.15 and infringement indemnification obligations under Section 3.17, (b) arising out of or resulting from such Party’s breach of its confidentiality obligations set forth in this Agreement (including Section 3.16, Section 3.48, Section 4.2 and Exhibit A attached hereto) or (c) in connection with a Third Party Loss arising out of or resulting from such Party’s violation of applicable Law. (Page 34)",Liability,Medium
CL02751,"B. Prolong shall indemnify, defend and hold harmless Sabco, its officers, directors, employees and representatives, from and against any and all losses, claims, suits, damages, liabilities, costs and expenses, including attorney fees and court costs incurred by any of them, arising out of:",Indemnification,Medium
CL02752,"This Agreement will be governed by and construed in accordance with the laws of the State of California, notwithstanding the actual state or country of residence or incorporation of Excite or Client. (Page 12)",Governing Law,Low
CL02753,"Either Party may terminate this Agreement, with or without cause, upon giving the other party thirty (30) days prior written notice of such termination pursuant to Section 12.7 of this Agreement. (Page 5)",Termination,High
CL02754,"This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause. (Page 2)",Termination,High
CL02756,"NTC hereby grants to ALFA AESAR, and its subsidiaries and affiliates, the exclusive right to market, sell and distribute Research Quantities of the Products within the Territory, ALFA AESAR hereby accepts such right and agrees to use its reasonable efforts to promote the marketing, sale and distribution of Research Quantities of the Products throughout the Territory in accordance with the terms and conditions of this Agreement using normal and standard practices. (Page 2) ALFA AESAR agrees that, so long as NTC provides ALFA AESAR with Products for ALFA AESAR’ S marketing, sale and distribution of Research Quantities of the Products within the Territory, ALFA AESAR shall purchase all its requirements of the Products (including nanomaterials with physical or chemical properties substantially the same as the Products) exclusively from NTC during the term of this Agreement, ALFA AESAR shall: i) buy the Products in quantities listed in Schedule A and repackage into the research sample quantities as it deems reasonable and appropriate for distribution and sale on a worldwide basis at such resale prices it shall determine from time to time, provided that any such repackaging shall comply with applicable safety laws and regulations; ii) attempt to keep reasonably sufficient stocks of the Products to meet customer orders and to store such stocks in such conditions as NTC may recommend from time to time to prevent deterioration or damage. (Page 2) ALFA AESAR agrees not to manufacture, buy, sell, distribute, deal in or be the agent for any products with the specifications of any of the Products, excluding any preexisting ALFA AESAR products. (Page 8)",Non-Compete & Exclusivity,Medium
CL02759,"Michigan Technological University Non-Disclosure Agreement PARTIES: Michigan Technological University Electronic signature are available on this document. 1400 Townsend Drive To use, click o the signature field Houghton, MI 49931 and follow the prompts. Company Name and address In consideration of the mutual covenants set out in this Agreement and for other good and valuable consideration (the receipt and sufficiency of which is hereby acknowledged by each of the Parties), and in order to protect certain administrative, financial, scientific, or technical information disclosed by one party (the Disclosing Party) to the other (Receiving Party)described below and hereinafter call ""Confidential Information"", both Parties mutually agree as follows:",Confidentiality,Low
CL02760,"To ensure that a backup facility will be available in <omitted> case of such a failure, VIP will maintain disaster and/or business interruption insurance adequate to establish alternate site processing, as provided for in paragraph 12(A) of this Agreement. (Pages 2-3) During the term of this Agreement, in addition to its other obligations set forth in this Agreement, VIP shall: A. Maintain property insurance in an amount sufficient to replace or reconstruct the hardware, software, data and facilities necessary for VIP to operate the VIP System and otherwise provide the EDP Services set forth in this Agreement and, upon written request, shall provide BNL with evidence of the coverage, including all applicable limits and conditions, and, upon written request, shall provide BNL with evidence of all renewals, cancellations, expirations or modifications of the coverage; (Page 10)",Insurance,Low
CL02764,"In addition, within twenty-five (25) months after the termination or expiration of the Term and on a Product-by-Product basis, ETON shall perform a final “true-up” reconciliation and shall provide Aucta with a written report of such outlining the deductions specified in the definition of Net Sales. (Page 8) After termination is effective and Aucta assumes control of the Product, ETON will provide, to the extent practicable, transition services to Aucta to include assistance with Product distribution, processing of rebates, drug safety, etc. at Aucta’s cost for such services, for a reasonable period of time as mutually determined by the Parties but not to exceed one hundred eighty (180) days following termination so that Aucta can get its own such services in place. (Page 14) If this Agreement is terminated by Aucta under Section 11.2 or 11.3, then (a) ETON shall have the right to, and Aucta shall hereby grant ETON a license to, Market or otherwise dispose of any existing inventory of any Products then in ETON’s possession subject to paying all Royalties and other amounts due hereunder for such sales, (b) Aucta may keep all the payments under Section 6 paid by ETON up to the point of termination and for ETON’s disposal of remaining inventory and Aucta is free to commercialize or relicense the Product with no further obligations owed to ETON, (c) ETON shall refrain from holding itself out as Aucta’s distributor, in particular, eliminate any reference to the Product and Aucta from its business, trade style and promotional material, and (d) ETON shall transfer all rights, licenses within thirty (30) days of termination. (Page 14)",Termination,Medium
CL02765,"1. CONFIDENTIAL INFORMATION. ""CONFIDENTIAL INFORMATION"" means any and all information and material disclosed by SABI to Victorinox (before or after the signing of this Agreement, and whether orally or in writing, graphic, electronic or any other form) that is marked or described as, identified orally or in writing as, or provided under circumstances indicating it is, confidential, proprietary or not otherwise available to the general public at the time of such disclosure.",Confidentiality,Low
CL02766,This Agreement shall be interpreted under the laws of the State of Nevada. (Page 3),Governing Law,Low
CL02767,"NOTWITHSTANDING ANYTHING IN THIS AGREEMENT TO THE CONTRARY, NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, PUNITIVE, OR EXEMPLARY DAMAGES SUFFERED BY SUCH PARTY RESULTING FROM OR ARISING OUT OF THIS AGREEMENT OR THE BREACH THEREOF OR UNDER ANY OTHER THEORY OF LIABILITY, WHETHER TORT, NEGLIGENCE, STRICT LIABILITY, BREACH OF CONTRACT, WARRANTY, INDEMNITY, OR OTHERWISE, INCLUDING, WITHOUT LIMITATION, LOSS OF USE, INCREASED COST OF OPERATIONS, LOSS OF PROFIT OR REVENUE, OR BUSINESS INTERRUPTIONS. (Page 27) IN FURTHERANCE OF THE FOREGOING, EACH PARTY RELEASES THE OTHER PARTY AND WAIVES ANY RIGHT OF RECOVERY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, PUNITIVE, OR EXEMPLARY DAMAGES SUFFERED BY SUCH PARTY REGARDLESS OF WHETHER ANY SUCH DAMAGES ARE CAUSED BY THE OTHER PARTY’S NEGLIGENCE (AND REGARDLESS OF WHETHER SUCH NEGLIGENCE IS SOLE, JOINT, CONCURRENT, ACTIVE, PASSIVE, OR GROSS NEGLIGENCE), FAULT, OR LIABILITY WITHOUT FAULT. (Page 27)",Liability,Medium
CL02768,This Agreement shall automatically renew for an additional period of three (3) years (such renewal and each subsequent renewal shall be defined as a “Renewal Term”) provided that EFS achieves Net Merchandise Sales of at least ***** during the fourth year following launch of the first Website. (Page 24),Renewal,Medium
CL02769,The provisions of subsections (b) through (f) of this Section 10 shall constitute the sole remedy for the inability of SDBF to provide Sponsorship Benefits for any reason other than intentional breach by SDBF. (Page 6) In no event shall the aggregate amount of remediation pursuant to subsections (b) through (e) of this Section for any calendar year exceed the Annual Payment made by Sponsor for such calendar year. (Page 7),Liability,Medium
CL02771,Society membership rights and privileges cannot be transferred or assigned. (Page 2),Assignment & Change of Control,Medium
CL02772,"For each Lead Scaffold, if (a) neither Anixa nor any of its Affiliates, licensees or assignees has dosed the first patient in a human clinical trial for a product incorporating a compound from such Lead Scaffold by the fifth (5th) anniversary of the date of the Selection Notice, or (b) Anixa earlier provides written notice of termination of such Lead Scaffold referencing this Section 4.3, then such Lead Scaffold (each, a ‚ÄúTerminated Scaffold‚Äù) will thereupon cease to be a Lead Scaffold under this Agreement and thereafter, notwithstanding anything to the contrary in this Agreement: (i) Anixa will promptly assign to OntoChem all right, title and interest in and to any patents and patent applications owned by Anixa that claim such Terminated Scaffold (including the composition, use or manufacture thereof) and, following such assignment, OntoChem will exclusively control the filing, prosecution, maintenance and enforcement of such patents and patent applications; (ii) the identity, structure and SAR information of such Terminated Scaffold will be deemed to be the Confidential Information of OntoChem; (iii) Anixa will not owe any further annual fees under Section 3.2 for such Terminated Scaffold; and (iv) this Agreement will otherwise remain in full force and effect. (Page 5) OntoChem will own, and Anixa hereby assigns to OntoChem, all right, title and interest in and to all Inventions directed to (a) any methods of generating or screening compound libraries and (b) the Rejected Hit Compounds (including the composition, use or manufacture thereof), in the case of this clause (b), effective as of the Selection Deadline (collectively (clauses (a) and (b)), ‚ÄúOntoChem Inventions‚Äù). (Page 7) Anixa will own, and OntoChem hereby assigns to Anixa, all right, title and interest in and to all Inventions other than OntoChem Inventions, including, for clarity, Inventions directed to the Lead Scaffold(s) (including the composition, use or manufacture thereof) (collectively, ‚ÄúAnixa Inventions‚Äù). (Page 8) Each Party will assign, and does hereby assign, to the other Party rights with respect to the applicable Inventions as necessary to achieve ownership as provided in Sections 6.2 and 6.3. (Page 8)",Intellectual Property,Medium
CL02773,"EKR may appoint sub-distributors under this Agreement provided that EKR: (a) informs PPI of the identity of any Third Party sub-distributor (other than Affiliate companies) prior to the execution of any sub-distribution agreement; <omitted> (b) obtain a confidential nondisclosure agreement with the prospective Sub-Distributor in a form acceptable to PPI, which acceptance shall not be unreasonably withheld or delayed and containing terms at least as stringent as those terms included in Article 11 of this Agreement; (c) deliver to the prospective Sub-Distributor a redacted copy of this Agreement (“Redacted Agreement”) . Any sub- distribution agreement shall provide that such agreement is subject and subordinate to the rights of PPI under this Agreement; and (d) provides PPI with a copy of written sub-distribution agreement as soon as reasonably practicable after the execution thereof by EKR. (Pages 62-63)",Intellectual Property,Medium
CL02774,"In the event that there is no written notice issued by either party to show the intention to renew this Agreement in the said thirty(30) days before the expiry of the current Term of the Agreement, the Agreement shall terminate at the end of the said thirty(30) days. (Page 6)",Renewal,Low
CL02775,"Upon WGT's request, Distributor will provide access to such records for examination, reproduction, and audit by WGT or its representatives. Any such audit will be conducted at such times and in such a manner so as not to unreasonably interfere with Distributor's normal operations. (Page 8)",Audit Rights,Low
CL02776,"Bioamber hereby grants Cargill, and Cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to sublicense under and to Bioamber Improvements for use outside the Field during the term of this Development Agreement. Such use shall be for research purposes only. (Page 8)",Intellectual Property,Medium
